DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ponA 537
COLOR	#88419d

LEGEND_TITLE	ponA 537
ERR3325452	#b3cde3	Y
ERR3325454	#b3cde3	Y
ERR3325455	#b3cde3	Y
ERR3325458	#b3cde3	Y
ERR3325460	#b3cde3	Y
ERR3325461	#b3cde3	Y
ERR3325463	#88419d	C
ERR3325464	#b3cde3	Y
ERR3325465	#b3cde3	Y
ERR3325467	#88419d	C
ERR3325469	#b3cde3	Y
ERR3325471	#b3cde3	Y
ERR3325476	#b3cde3	Y
ERR3325477	#b3cde3	Y
ERR3325482	#b3cde3	Y
ERR3325483	#b3cde3	Y
ERR3325484	#b3cde3	Y
ERR3325485	#b3cde3	Y
ERR3325486	#b3cde3	Y
ERR3325487	#88419d	C
ERR3325488	#b3cde3	Y
ERR3325489	#b3cde3	Y
ERR3325491	#b3cde3	Y
ERR3325492	#b3cde3	Y
ERR3325495	#b3cde3	Y
ERR3325497	#b3cde3	Y
ERR3325499	#b3cde3	Y
ERR3325502	#b3cde3	Y
ERR3325505	#b3cde3	Y
ERR3325507	#b3cde3	Y
ERR3325508	#88419d	C
ERR3325509	#b3cde3	Y
ERR3325512	#b3cde3	Y
ERR3325516	#b3cde3	Y
ERR3325518	#b3cde3	Y
ERR3325522	#b3cde3	Y
ERR3325523	#b3cde3	Y
ERR3325524	#b3cde3	Y
ERR3325525	#b3cde3	Y
ERR3325526	#b3cde3	Y
ERR3325527	#b3cde3	Y
ERR3325529	#b3cde3	Y
ERR3325531	#b3cde3	Y
ERR3325533	#b3cde3	Y
ERR3325534	#b3cde3	Y
ERR3325538	#88419d	C
ERR3325539	#88419d	C
ERR3325542	#88419d	C
ERR3325543	#b3cde3	Y
ERR3325545	#b3cde3	Y
ERR3325547	#b3cde3	Y
ERR3325551	#b3cde3	Y
ERR3325552	#b3cde3	Y
ERR3325557	#b3cde3	Y
ERR3325560	#b3cde3	Y
ERR3325561	#b3cde3	Y
ERR3325562	#b3cde3	Y
ERR3325565	#b3cde3	Y
ERR3325567	#b3cde3	Y
ERR3325570	#b3cde3	Y
ERR3325571	#b3cde3	Y
ERR3325573	#b3cde3	Y
ERR3325574	#b3cde3	Y
ERR3325575	#b3cde3	Y
ERR3325576	#b3cde3	Y
ERR3325577	#b3cde3	Y
ERR3325578	#b3cde3	Y
ERR3325582	#b3cde3	Y
ERR3325583	#b3cde3	Y
ERR3325586	#b3cde3	Y
ERR3325587	#b3cde3	Y
ERR3325588	#b3cde3	Y
ERR3325589	#b3cde3	Y
ERR3325590	#b3cde3	Y
ERR3325592	#b3cde3	Y
ERR3325593	#b3cde3	Y
ERR3325594	#b3cde3	Y
ERR3325596	#88419d	C
ERR3325598	#b3cde3	Y
ERR3325600	#b3cde3	Y
ERR3325603	#b3cde3	Y
ERR3325604	#b3cde3	Y
ERR3325611	#b3cde3	Y
ERR3325613	#b3cde3	Y
ERR3325618	#b3cde3	Y
ERR3325619	#b3cde3	Y
ERR3325621	#b3cde3	Y
ERR3325622	#b3cde3	Y
ERR3325623	#b3cde3	Y
ERR3325625	#88419d	C
ERR3325627	#b3cde3	Y
ERR3325628	#88419d	C
ERR3325629	#b3cde3	Y
ERR3325630	#b3cde3	Y
ERR3325631	#b3cde3	Y
ERR3325634	#b3cde3	Y
ERR3325636	#b3cde3	Y
ERR3325637	#88419d	C
ERR3325639	#88419d	C
ERR3325640	#b3cde3	Y
ERR3325641	#b3cde3	Y
ERR3325642	#88419d	C
ERR3325643	#b3cde3	Y
ERR3325645	#b3cde3	Y
ERR3325648	#b3cde3	Y
ERR3325650	#b3cde3	Y
ERR3325651	#88419d	C
ERR3325652	#b3cde3	Y
ERR3325653	#88419d	C
ERR3325654	#b3cde3	Y
ERR3325655	#b3cde3	Y
ERR3325656	#b3cde3	Y
ERR3325657	#b3cde3	Y
ERR3325658	#b3cde3	Y
ERR3325659	#b3cde3	Y
ERR3325661	#b3cde3	Y
ERR3325664	#b3cde3	Y
ERR3325665	#88419d	C
ERR3325668	#b3cde3	Y
ERR3325672	#88419d	C
ERR3325674	#b3cde3	Y
ERR3325675	#b3cde3	Y
ERR3325677	#b3cde3	Y
ERR3325678	#b3cde3	Y
ERR3325682	#b3cde3	Y
ERR3325685	#b3cde3	Y
ERR3325687	#88419d	C
ERR3325688	#b3cde3	Y
ERR3325693	#b3cde3	Y
ERR3325695	#b3cde3	Y
ERR3325696	#b3cde3	Y
ERR3325699	#b3cde3	Y
ERR3325700	#b3cde3	Y
ERR3325702	#b3cde3	Y
ERR3325704	#b3cde3	Y
ERR3325708	#b3cde3	Y
ERR3325709	#b3cde3	Y
ERR3325710	#b3cde3	Y
ERR3325712	#88419d	C
ERR3325715	#b3cde3	Y
ERR3325716	#b3cde3	Y
ERR3325717	#b3cde3	Y
ERR3325718	#b3cde3	Y
ERR3325719	#b3cde3	Y
ERR3325723	#b3cde3	Y
ERR3325725	#b3cde3	Y
ERR3325729	#b3cde3	Y
ERR3325730	#b3cde3	Y
ERR3325733	#b3cde3	Y
ERR3325734	#b3cde3	Y
ERR3325735	#88419d	C
ERR3325736	#b3cde3	Y
ERR3325738	#b3cde3	Y
ERR3325739	#b3cde3	Y
ERR3325740	#b3cde3	Y
ERR3325741	#b3cde3	Y
ERR3325742	#b3cde3	Y
ERR3325743	#b3cde3	Y
ERR3325744	#b3cde3	Y
ERR3325751	#b3cde3	Y
ERR3325754	#b3cde3	Y
ERR3325756	#b3cde3	Y
ERR3325757	#b3cde3	Y
ERR3325758	#b3cde3	Y
ERR3325760	#b3cde3	Y
ERR3325761	#b3cde3	Y
ERR3325762	#b3cde3	Y
ERR3325767	#b3cde3	Y
ERR3325769	#b3cde3	Y
ERR3325774	#b3cde3	Y
ERR3325777	#b3cde3	Y
ERR3325778	#b3cde3	Y
ERR3325781	#b3cde3	Y
ERR3325782	#b3cde3	Y
ERR3325785	#b3cde3	Y
ERR3325787	#b3cde3	Y
ERR3325788	#b3cde3	Y
ERR3325789	#b3cde3	Y
ERR3325790	#b3cde3	Y
ERR3325791	#b3cde3	Y
ERR3325792	#b3cde3	Y
ERR3325794	#b3cde3	Y
ERR3325795	#b3cde3	Y
ERR3325797	#b3cde3	Y
ERR3325798	#88419d	C
ERR3325800	#b3cde3	Y
ERR3325803	#b3cde3	Y
ERR3325804	#b3cde3	Y
ERR3325805	#b3cde3	Y
ERR3325811	#b3cde3	Y
ERR3325812	#b3cde3	Y
ERR3325813	#b3cde3	Y
ERR3325818	#b3cde3	Y
ERR3325819	#b3cde3	Y
ERR3325822	#b3cde3	Y
ERR3325824	#b3cde3	Y
ERR3325826	#b3cde3	Y
ERR3325827	#b3cde3	Y
ERR3325828	#b3cde3	Y
ERR3325829	#b3cde3	Y
ERR3325830	#b3cde3	Y
ERR3325832	#b3cde3	Y
ERR3325833	#b3cde3	Y
ERR3325834	#b3cde3	Y
ERR3325836	#88419d	C
ERR3325839	#b3cde3	Y
ERR3325840	#b3cde3	Y
ERR3325841	#b3cde3	Y
ERR3325842	#b3cde3	Y
ERR3325843	#b3cde3	Y
ERR3325844	#b3cde3	Y
ERR3325847	#b3cde3	Y
ERR3325848	#b3cde3	Y
ERR3325850	#b3cde3	Y
ERR3325851	#b3cde3	Y
ERR3325852	#b3cde3	Y
ERR3325854	#b3cde3	Y
ERR3325858	#b3cde3	Y
ERR3325860	#b3cde3	Y
ERR3325861	#88419d	C
ERR3325862	#b3cde3	Y
ERR3325863	#b3cde3	Y
ERR3325864	#b3cde3	Y
ERR3325865	#b3cde3	Y
ERR3325868	#b3cde3	Y
ERR3325869	#b3cde3	Y
ERR3325870	#b3cde3	Y
ERR3325871	#b3cde3	Y
ERR3325872	#b3cde3	Y
ERR3325874	#b3cde3	Y
ERR3325876	#b3cde3	Y
ERR3325878	#b3cde3	Y
ERR3325879	#88419d	C
ERR3325880	#b3cde3	Y
ERR3325884	#b3cde3	Y
ERR3325885	#b3cde3	Y
ERR3325887	#b3cde3	Y
ERR3325888	#b3cde3	Y
ERR3325891	#b3cde3	Y
ERR3325892	#b3cde3	Y
ERR3325894	#b3cde3	Y
ERR3325897	#b3cde3	Y
ERR3325898	#b3cde3	Y
ERR3325899	#b3cde3	Y
ERR3325900	#b3cde3	Y
ERR3325901	#b3cde3	Y
ERR3325902	#b3cde3	Y
ERR3325903	#b3cde3	Y
ERR3325906	#b3cde3	Y
ERR3325907	#b3cde3	Y
ERR3325909	#b3cde3	Y
ERR3325913	#b3cde3	Y
ERR3325915	#88419d	C
ERR3325916	#b3cde3	Y
ERR3325917	#b3cde3	Y
ERR3325919	#b3cde3	Y
ERR3325925	#b3cde3	Y
ERR3325926	#b3cde3	Y
ERR3325929	#b3cde3	Y
ERR3325930	#b3cde3	Y
ERR3325931	#b3cde3	Y
ERR3325932	#b3cde3	Y
ERR3325933	#b3cde3	Y
ERR3325934	#b3cde3	Y
ERR3325936	#88419d	C
ERR3325938	#b3cde3	Y
ERR3325939	#b3cde3	Y
ERR3325941	#b3cde3	Y
ERR3325943	#b3cde3	Y
ERR3325944	#b3cde3	Y
ERR3325945	#b3cde3	Y
ERR3325948	#b3cde3	Y
ERR3325953	#b3cde3	Y
ERR3325955	#88419d	C
ERR3325957	#b3cde3	Y
ERR3325958	#b3cde3	Y
ERR3325959	#b3cde3	Y
ERR3325960	#b3cde3	Y
ERR3325963	#b3cde3	Y
ERR3325964	#b3cde3	Y
ERR3325967	#b3cde3	Y
ERR3325968	#b3cde3	Y
ERR3325969	#b3cde3	Y
ERR3325970	#b3cde3	Y
ERR3325971	#b3cde3	Y
ERR3325974	#b3cde3	Y
ERR3325975	#b3cde3	Y
ERR3325977	#b3cde3	Y
ERR3325978	#b3cde3	Y
ERR3325979	#b3cde3	Y
ERR3325983	#b3cde3	Y
ERR3325984	#88419d	C
ERR3325988	#b3cde3	Y
ERR3325989	#b3cde3	Y
ERR3325990	#b3cde3	Y
ERR3325991	#b3cde3	Y
ERR3325992	#b3cde3	Y
ERR3325994	#b3cde3	Y
ERR3325996	#b3cde3	Y
ERR3325997	#88419d	C
ERR3325999	#b3cde3	Y
ERR3326000	#b3cde3	Y
ERR3326002	#b3cde3	Y
ERR3326003	#b3cde3	Y
ERR3326006	#b3cde3	Y
ERR3326007	#b3cde3	Y
ERR3326012	#88419d	C
ERR3326013	#b3cde3	Y
ERR3326016	#b3cde3	Y
ERR3326017	#b3cde3	Y
ERR3326020	#b3cde3	Y
ERR3326021	#b3cde3	Y
ERR3326027	#b3cde3	Y
ERR3326028	#b3cde3	Y
ERR3326030	#b3cde3	Y
ERR3326031	#88419d	C
ERR3326032	#b3cde3	Y
ERR3326035	#b3cde3	Y
ERR3326036	#b3cde3	Y
ERR3326038	#b3cde3	Y
ERR3326039	#b3cde3	Y
ERR3326041	#b3cde3	Y
ERR3326042	#b3cde3	Y
ERR3326043	#b3cde3	Y
ERR3326044	#b3cde3	Y
ERR3326048	#b3cde3	Y
ERR3326049	#b3cde3	Y
ERR3326050	#b3cde3	Y
ERR3326051	#b3cde3	Y
ERR3326052	#b3cde3	Y
ERR3326053	#b3cde3	Y
ERR3326054	#b3cde3	Y
ERR3326058	#b3cde3	Y
ERR3326062	#b3cde3	Y
ERR3326065	#b3cde3	Y
ERR3326066	#b3cde3	Y
ERR3326070	#b3cde3	Y
ERR3326071	#b3cde3	Y
ERR3326075	#b3cde3	Y
ERR3326076	#b3cde3	Y
ERR3326078	#b3cde3	Y
ERR3326079	#b3cde3	Y
ERR3326082	#b3cde3	Y
ERR3326083	#b3cde3	Y
ERR3326084	#b3cde3	Y
ERR3326085	#b3cde3	Y
ERR3326086	#b3cde3	Y
ERR3326090	#b3cde3	Y
ERR3326092	#b3cde3	Y
ERR3326094	#b3cde3	Y
ERR3326096	#b3cde3	Y
ERR3326097	#b3cde3	Y
ERR3326098	#b3cde3	Y
ERR3326099	#b3cde3	Y
ERR3326100	#b3cde3	Y
ERR3326102	#b3cde3	Y
ERR3326104	#b3cde3	Y
ERR3326105	#b3cde3	Y
ERR3326106	#b3cde3	Y
ERR3326108	#b3cde3	Y
ERR3326110	#b3cde3	Y
ERR3326111	#b3cde3	Y
ERR3326113	#b3cde3	Y
ERR3326114	#b3cde3	Y
ERR3326116	#b3cde3	Y
ERR3326117	#b3cde3	Y
ERR3326118	#b3cde3	Y
ERR3326119	#b3cde3	Y
ERR3326122	#b3cde3	Y
ERR3326123	#b3cde3	Y
ERR3326124	#b3cde3	Y
ERR3326125	#b3cde3	Y
ERR3326126	#b3cde3	Y
ERR3326127	#b3cde3	Y
ERR3326130	#b3cde3	Y
ERR3326133	#b3cde3	Y
ERR3326134	#b3cde3	Y
ERR3326136	#b3cde3	Y
ERR3326139	#b3cde3	Y
ERR3326141	#b3cde3	Y
ERR3326142	#b3cde3	Y
SRR1661153	#b3cde3	Y
SRR1661154	#b3cde3	Y
SRR1661155	#b3cde3	Y
SRR1661156	#b3cde3	Y
SRR1661157	#b3cde3	Y
SRR1661158	#b3cde3	Y
SRR1661159	#b3cde3	Y
SRR1661161	#b3cde3	Y
SRR1661162	#b3cde3	Y
SRR1661163	#b3cde3	Y
SRR1661164	#b3cde3	Y
SRR1661165	#b3cde3	Y
SRR1661167	#b3cde3	Y
SRR1661171	#b3cde3	Y
SRR1661172	#b3cde3	Y
SRR1661174	#b3cde3	Y
SRR1661177	#b3cde3	Y
SRR1661179	#b3cde3	Y
SRR1661180	#b3cde3	Y
SRR1661181	#b3cde3	Y
SRR1661184	#b3cde3	Y
SRR1661185	#b3cde3	Y
SRR1661187	#b3cde3	Y
SRR1661190	#b3cde3	Y
SRR1661191	#b3cde3	Y
SRR1661193	#b3cde3	Y
SRR1661194	#b3cde3	Y
SRR1661195	#b3cde3	Y
SRR1661201	#b3cde3	Y
SRR1661202	#b3cde3	Y
SRR1661209	#b3cde3	Y
SRR1661210	#b3cde3	Y
SRR1661211	#b3cde3	Y
SRR1661214	#b3cde3	Y
SRR1661215	#b3cde3	Y
SRR1661225	#b3cde3	Y
SRR1661228	#b3cde3	Y
SRR1661233	#b3cde3	Y
SRR1661234	#b3cde3	Y
SRR1661236	#b3cde3	Y
SRR1661237	#b3cde3	Y
SRR1661238	#b3cde3	Y
SRR1661239	#b3cde3	Y
SRR1661240	#b3cde3	Y
SRR1661241	#b3cde3	Y
SRR1661243	#b3cde3	Y
SRR1661255	#b3cde3	Y
SRR1661258	#b3cde3	Y
SRR1661260	#b3cde3	Y
SRR1661261	#b3cde3	Y
SRR1661262	#b3cde3	Y
SRR1661263	#b3cde3	Y
SRR1661264	#b3cde3	Y
SRR1661265	#b3cde3	Y
SRR1661266	#b3cde3	Y
SRR1661272	#b3cde3	Y
SRR1661275	#b3cde3	Y
SRR1661280	#b3cde3	Y
SRR1661281	#b3cde3	Y
SRR1661282	#b3cde3	Y
SRR1661285	#b3cde3	Y
SRR1661286	#b3cde3	Y
SRR1661287	#b3cde3	Y
SRR1661289	#b3cde3	Y
SRR1661291	#b3cde3	Y
SRR1661292	#b3cde3	Y
SRR1661293	#b3cde3	Y
SRR1661295	#b3cde3	Y
SRR1661307	#b3cde3	Y
SRR1661309	#b3cde3	Y
SRR1661313	#b3cde3	Y
SRR1661315	#b3cde3	Y
SRR1661317	#b3cde3	Y
SRR1661318	#b3cde3	Y
SRR1661319	#b3cde3	Y
SRR1661320	#b3cde3	Y
SRR1661321	#b3cde3	Y
SRR1661322	#b3cde3	Y
SRR3357077	#b3cde3	Y
SRR3357157	#b3cde3	Y
SRR3357160	#b3cde3	Y
SRR3357186	#b3cde3	Y
SRR3357229	#b3cde3	Y
SRR3357252	#b3cde3	Y
SRR3357260	#b3cde3	Y
SRR3357263	#b3cde3	Y
SRR3357264	#b3cde3	Y
SRR3357288	#b3cde3	Y
SRR3357289	#b3cde3	Y
SRR3357305	#b3cde3	Y
SRR3357314	#b3cde3	Y
SRR3360606	#b3cde3	Y
SRR3360607	#b3cde3	Y
SRR3360608	#b3cde3	Y
SRR3360610	#b3cde3	Y
SRR3360613	#b3cde3	Y
SRR3360614	#b3cde3	Y
SRR3360615	#b3cde3	Y
SRR3360617	#b3cde3	Y
SRR3360624	#b3cde3	Y
SRR3360625	#b3cde3	Y
SRR3360627	#b3cde3	Y
SRR3360628	#b3cde3	Y
SRR3360630	#b3cde3	Y
SRR3360632	#b3cde3	Y
SRR3360634	#b3cde3	Y
SRR3360636	#b3cde3	Y
SRR3360637	#b3cde3	Y
SRR3360638	#b3cde3	Y
SRR3360639	#b3cde3	Y
SRR3360640	#b3cde3	Y
SRR3360641	#b3cde3	Y
SRR3360642	#b3cde3	Y
SRR3360644	#b3cde3	Y
SRR3360645	#b3cde3	Y
SRR3360646	#b3cde3	Y
SRR3360647	#b3cde3	Y
SRR3360650	#b3cde3	Y
SRR3360652	#b3cde3	Y
SRR3360653	#b3cde3	Y
SRR3360654	#b3cde3	Y
SRR3360658	#b3cde3	Y
SRR3360659	#b3cde3	Y
SRR3360662	#b3cde3	Y
SRR3360663	#b3cde3	Y
SRR3360664	#b3cde3	Y
SRR3360665	#b3cde3	Y
SRR3360667	#b3cde3	Y
SRR3360669	#b3cde3	Y
SRR3360672	#b3cde3	Y
SRR3360674	#b3cde3	Y
SRR3360677	#b3cde3	Y
SRR3360679	#b3cde3	Y
SRR3360680	#b3cde3	Y
SRR3360681	#b3cde3	Y
SRR3360683	#b3cde3	Y
SRR3360684	#b3cde3	Y
SRR3360685	#b3cde3	Y
SRR3360687	#b3cde3	Y
SRR3360688	#b3cde3	Y
SRR3360689	#b3cde3	Y
SRR3360690	#b3cde3	Y
SRR3360691	#b3cde3	Y
SRR3360692	#b3cde3	Y
SRR3360693	#b3cde3	Y
SRR3360694	#b3cde3	Y
SRR3360696	#b3cde3	Y
SRR3360701	#b3cde3	Y
SRR3360702	#b3cde3	Y
SRR3360703	#b3cde3	Y
SRR3360705	#b3cde3	Y
SRR3360706	#b3cde3	Y
SRR3360708	#b3cde3	Y
SRR3360709	#b3cde3	Y
SRR3360712	#b3cde3	Y
SRR3360713	#b3cde3	Y
SRR3360714	#b3cde3	Y
SRR3360716	#b3cde3	Y
SRR3360717	#b3cde3	Y
SRR3360718	#b3cde3	Y
SRR3360719	#b3cde3	Y
SRR3360720	#b3cde3	Y
SRR3360721	#b3cde3	Y
SRR3360722	#b3cde3	Y
SRR3360723	#b3cde3	Y
SRR3360726	#b3cde3	Y
SRR3360727	#b3cde3	Y
SRR3360729	#b3cde3	Y
SRR3360730	#b3cde3	Y
SRR3360731	#b3cde3	Y
SRR3360733	#b3cde3	Y
SRR3360734	#b3cde3	Y
SRR3360736	#b3cde3	Y
SRR3360737	#b3cde3	Y
SRR3360738	#b3cde3	Y
SRR3360740	#b3cde3	Y
SRR3360743	#b3cde3	Y
SRR3360745	#b3cde3	Y
SRR3360747	#b3cde3	Y
SRR3360749	#b3cde3	Y
SRR3360751	#b3cde3	Y
SRR3360753	#b3cde3	Y
SRR3360754	#b3cde3	Y
SRR3360771	#b3cde3	Y
SRR3360772	#b3cde3	Y
SRR3360774	#b3cde3	Y
SRR3360810	#b3cde3	Y
SRR3360811	#b3cde3	Y
SRR3360813	#b3cde3	Y
SRR3360827	#b3cde3	Y
SRR3360829	#b3cde3	Y
SRR3360832	#b3cde3	Y
SRR3360836	#b3cde3	Y
SRR3360851	#b3cde3	Y
SRR3360854	#b3cde3	Y
SRR3360867	#b3cde3	Y
SRR3360872	#b3cde3	Y
SRR3360883	#b3cde3	Y
SRR3360890	#b3cde3	Y
SRR3360893	#b3cde3	Y
SRR3360913	#b3cde3	Y
SRR3360917	#b3cde3	Y
SRR3360921	#b3cde3	Y
SRR3360924	#b3cde3	Y
SRR3360926	#b3cde3	Y
SRR3360930	#b3cde3	Y
SRR3360939	#b3cde3	Y
SRR3360943	#b3cde3	Y
SRR3360944	#b3cde3	Y
SRR3360947	#b3cde3	Y
SRR3360949	#b3cde3	Y
SRR3360950	#b3cde3	Y
SRR3360953	#b3cde3	Y
SRR3360964	#b3cde3	Y
SRR3360970	#b3cde3	Y
SRR3360980	#b3cde3	Y
SRR3360981	#b3cde3	Y
SRR3360982	#b3cde3	Y
SRR3360984	#b3cde3	Y
SRR3360993	#b3cde3	Y
SRR3361307	#b3cde3	Y
SRR3361308	#b3cde3	Y
SRR3361310	#b3cde3	Y
SRR3361312	#b3cde3	Y
SRR3361313	#b3cde3	Y
SRR3361314	#b3cde3	Y
SRR3361315	#b3cde3	Y
SRR3361318	#b3cde3	Y
SRR3361321	#b3cde3	Y
SRR3361322	#b3cde3	Y
SRR3361324	#b3cde3	Y
SRR3361325	#b3cde3	Y
SRR3361326	#b3cde3	Y
SRR3361328	#b3cde3	Y
SRR3361333	#b3cde3	Y
SRR3361337	#b3cde3	Y
SRR3361338	#b3cde3	Y
SRR3361340	#b3cde3	Y
SRR3361341	#b3cde3	Y
SRR3361344	#b3cde3	Y
SRR3361345	#b3cde3	Y
SRR3361346	#b3cde3	Y
SRR3361350	#b3cde3	Y
SRR3361352	#b3cde3	Y
SRR3361353	#b3cde3	Y
SRR3361354	#b3cde3	Y
SRR3361355	#b3cde3	Y
SRR3361356	#b3cde3	Y
BH01	#b3cde3	Y
BH02	#b3cde3	Y
BH03	#b3cde3	Y
BH05	#b3cde3	Y
BH06	#b3cde3	Y
BH07	#b3cde3	Y
BH08	#b3cde3	Y
BH09	#b3cde3	Y
BH100	#b3cde3	Y
BH101	#b3cde3	Y
BH103	#b3cde3	Y
BH104	#b3cde3	Y
BH105	#b3cde3	Y
BH10	#b3cde3	Y
BH11	#b3cde3	Y
BH13	#b3cde3	Y
BH14	#b3cde3	Y
BH16	#b3cde3	Y
BH18	#b3cde3	Y
BH21	#b3cde3	Y
BH23	#b3cde3	Y
BH25	#b3cde3	Y
BH26	#b3cde3	Y
BH27	#b3cde3	Y
BH28	#b3cde3	Y
BH29	#b3cde3	Y
BH30	#b3cde3	Y
BH32	#b3cde3	Y
BH33	#b3cde3	Y
BH34	#b3cde3	Y
BH36	#b3cde3	Y
BH37	#b3cde3	Y
BH41	#b3cde3	Y
BH42	#b3cde3	Y
BH43	#b3cde3	Y
BH44	#b3cde3	Y
BH45	#b3cde3	Y
BH46	#b3cde3	Y
BH47	#b3cde3	Y
BH48	#b3cde3	Y
BH49	#b3cde3	Y
BH51	#b3cde3	Y
BH52	#b3cde3	Y
